IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
213.202.230.143,8183,172.31.65.121,3389,6,0.0,1955,14,764,9,223,219,94,4294951,0,16,100,100,718,40,40,718,1955.0,764.0,0,0,0,0,15640000,352000,19,1,2,1,0,8192,64000,0,0,0,0,0,0,0,Benign
172.31.64.27,54015,172.31.0.2,53,17,5.126,60,1,88,1,0,0,0,0,0,0,0,0,88,60,60,88,60.0,88.0,0,0,0,0,480000,704000,2,0,0,0,0,0,0,0,0,17954,28,60,0,0,Benign
172.31.67.45,52744,172.31.0.2,53,17,0.0,130,2,286,2,0,0,0,0,0,0,128,128,143,65,65,143,130.0,286.0,0,0,0,0,1040000,2288000,2,2,0,0,0,0,0,0,0,45666,28,60,0,0,Benign
172.31.69.11,53436,172.31.0.2,53,17,0.0,60,1,76,1,0,0,0,0,0,0,0,0,76,60,60,76,60.0,76.0,0,0,0,0,480000,608000,2,0,0,0,0,0,0,0,0,24665,1,60,0,0,Benign
172.31.65.56,55217,172.31.0.2,53,17,0.0,120,2,320,2,0,0,0,0,0,0,128,128,160,60,60,160,120.0,320.0,0,0,0,0,960000,2560000,2,2,0,0,0,0,0,0,0,8825,1,60,0,0,Benign
213.202.230.223,50235,172.31.66.65,3389,6,0.0,1964,14,764,9,223,219,94,0,0,0,101,101,724,40,40,724,1964.0,764.0,0,0,0,0,15712000,6112000,19,1,2,1,0,8192,64000,0,0,0,0,0,0,0,Benign
172.31.69.12,52814,52.44.77.187,443,6,91.178,2128,15,6229,15,219,219,27,0,0,0,128,128,1500,40,40,1500,2128.0,6229.0,205,5,0,0,17024000,49832000,22,2,1,0,5,64240,31995,52480,205,0,0,0,0,0,Benign
172.31.64.34,49932,178.255.83.1,80,6,7.0,647,5,1071,5,27,27,27,0,0,0,128,128,899,40,40,899,647.0,1071.0,0,0,0,0,5176000,8568000,8,0,1,1,0,8192,14600,0,0,0,0,0,0,0,Benign
18.217.165.70,44500,172.31.69.25,80,6,7.0,3326,15,160,3,30,26,22,0,0,0,63,63,282,40,40,282,3326.0,160.0,2820,10,0,0,26608000,1280000,7,0,11,0,0,26883,26847,1024,4,0,0,0,0,1,DoS attacks-Slowloris
125.212.217.214,58022,172.31.64.106,32400,6,0.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,41939,0,0,0,0,0,0,0,0,Benign
172.31.69.24,35602,172.31.69.4,2008,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
172.31.67.29,52603,172.31.0.2,53,17,5.119,66,1,114,1,0,0,0,0,0,0,0,0,114,66,66,114,66.0,114.0,0,0,0,0,528000,912000,2,0,0,0,0,0,0,0,0,12334,1,30,0,0,Benign
172.31.68.9,55955,172.31.0.2,53,17,0.0,118,2,150,2,0,0,0,0,0,0,128,128,75,59,59,75,118.0,150.0,0,0,0,0,944000,1200000,4,0,0,0,0,0,0,0,0,61070,1,60,0,0,Benign
172.31.66.86,60954,172.31.0.2,53,17,0.0,63,1,111,1,0,0,0,0,0,0,128,128,111,63,63,111,126.0,222.0,0,0,0,0,56000,152000,4,0,0,0,0,0,0,0,0,2302,1,60,0,0,Benign
172.31.64.58,59359,172.31.0.2,53,17,0.0,67,1,99,1,0,0,0,0,0,0,0,0,99,67,67,99,67.0,99.0,0,0,0,0,536000,792000,2,0,0,0,0,0,0,0,0,63728,1,59,0,0,Benign
172.31.67.57,62851,172.31.0.2,53,17,0.0,68,1,167,1,0,0,0,0,0,0,0,0,167,68,68,167,68.0,167.0,0,0,0,0,544000,1336000,1,1,0,0,0,0,0,0,0,43354,1,19,0,0,Benign
172.31.65.49,50822,216.58.198.78,80,6,7.126,172,4,92,2,19,19,19,0,0,0,128,128,52,40,40,52,172.0,92.0,0,0,0,0,1376000,736000,6,0,0,0,0,8192,42780,0,0,0,0,0,0,0,Benign
172.31.67.123,51115,178.255.83.1,80,6,7.0,647,5,1071,5,27,27,27,0,0,0,128,128,899,40,40,899,647.0,1071.0,0,0,0,0,5176000,8568000,8,0,1,1,0,8192,14600,0,0,0,0,0,0,0,Benign
185.222.56.84,59883,172.31.66.68,3389,6,88.0,1092,5,589,5,28,28,24,0,0,0,104,104,701,40,40,701,1092.0,589.0,0,0,0,0,8736000,4712000,7,1,1,1,0,256,63614,0,0,0,0,0,0,0,Benign
172.31.66.11,63929,172.31.0.2,53,17,0.0,75,1,135,1,0,0,0,0,0,0,0,0,135,75,75,135,75.0,135.0,0,0,0,0,600000,1080000,1,1,0,0,0,0,0,0,0,50315,1,51,0,0,Benign
172.31.67.37,62833,172.31.0.2,53,17,5.178,67,1,104,1,0,0,0,0,0,0,0,0,104,67,67,104,67.0,104.0,0,0,0,0,536000,832000,2,0,0,0,0,0,0,0,0,42361,1,60,0,0,Benign
172.31.64.94,57661,172.31.0.2,53,17,0.0,64,1,125,1,0,0,0,0,0,0,0,0,125,64,64,125,64.0,125.0,0,0,0,0,512000,1000000,2,0,0,0,0,0,0,0,0,42626,28,60,0,0,Benign
172.31.65.123,65394,172.31.0.2,53,17,5.126,72,1,100,1,0,0,0,0,0,0,128,128,100,72,72,100,144.0,100.0,0,0,0,0,1152000,800000,3,0,0,0,0,0,0,0,0,58134,28,60,0,0,Benign
172.31.64.119,51463,172.31.0.2,53,17,5.126,71,1,87,1,0,0,0,0,0,0,128,128,87,71,71,87,142.0,174.0,0,0,0,0,1136000,1040000,4,0,0,0,0,0,0,0,0,59184,1,60,0,0,Benign
62.1.169.9,61552,172.31.65.85,3389,6,0.0,1460,8,1869,7,30,30,26,0,0,0,105,105,1213,40,40,1213,1460.0,1869.0,0,0,0,0,11680000,14952000,10,2,1,1,1,65280,64000,0,0,0,0,0,0,0,Benign
172.31.67.45,55634,172.31.0.2,53,17,5.233,62,1,107,1,0,0,0,0,0,0,0,0,107,62,62,107,62.0,107.0,0,0,0,0,496000,856000,2,0,0,0,0,0,0,0,0,61075,1,60,0,0,Benign
172.31.66.121,59041,172.31.0.2,53,17,0.0,53,1,69,1,0,0,0,0,0,0,0,0,69,53,53,69,53.0,69.0,0,0,0,0,424000,552000,2,0,0,0,0,0,0,0,0,6289,1,60,0,0,Benign
172.31.65.83,50441,172.31.0.2,53,17,5.126,71,1,130,1,0,0,0,0,0,0,0,0,130,71,71,130,71.0,130.0,0,0,0,0,568000,1040000,1,1,0,0,0,0,0,0,0,31803,1,60,0,0,Benign
103.212.92.227,50813,172.31.66.107,445,6,41.0,132,3,132,3,23,19,22,0,0,0,104,104,52,40,40,52,132.0,132.0,0,0,0,0,1056000,1056000,6,0,0,0,0,16425,8192,0,0,0,0,0,0,0,Benign
159.192.122.221,24609,172.31.66.91,3389,6,0.0,1464,8,1873,7,222,222,90,0,0,0,101,101,1213,40,40,1213,1464.0,1873.0,0,0,0,0,11712000,14984000,10,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
172.31.64.67,50056,72.21.91.29,80,6,7.0,1141,17,1532,15,27,27,27,0,0,0,128,128,828,40,40,828,1141.0,1532.0,451,11,0,0,9128000,12256000,30,0,1,1,0,8192,65535,49920,195,0,0,0,0,0,Benign
18.219.5.43,55796,172.31.69.25,80,17,0.0,407880,6798,0,0,0,0,0,4294686,281,0,127,127,60,60,0,60,168960238920.0,0.0,0,0,0,0,12944000,0,6798,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS attacks-LOIC-HTTP
83.251.143.74,35315,172.31.65.78,23,6,77.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,43479,0,0,0,0,0,0,0,0,Benign
172.31.66.101,54605,172.31.0.2,53,17,5.126,79,1,107,1,0,0,0,0,0,0,0,0,107,79,79,107,79.0,107.0,0,0,0,0,632000,856000,2,0,0,0,0,0,0,0,0,37455,28,60,0,0,Benign
172.31.66.101,63590,172.31.0.2,53,17,5.126,63,1,91,1,0,0,0,0,0,0,0,0,91,63,63,91,63.0,91.0,0,0,0,0,504000,728000,2,0,0,0,0,0,0,0,0,61125,28,30,0,0,Benign
172.31.65.88,55794,172.31.0.2,53,17,0.0,72,1,153,1,0,0,0,0,0,0,0,0,153,72,72,153,72.0,153.0,0,0,0,0,576000,1224000,1,1,0,0,0,0,0,0,0,59753,28,60,0,0,Benign
201.116.134.132,12957,172.31.66.58,445,6,0.0,656,7,875,7,31,27,30,0,0,0,105,105,449,40,40,449,656.0,875.0,0,0,0,0,5248000,7000000,10,3,1,0,0,8192,8192,0,0,0,0,0,0,0,Benign
172.31.67.57,49519,172.31.0.2,53,17,0.0,55,1,130,1,0,0,0,0,0,0,128,128,130,55,55,130,110.0,130.0,0,0,0,0,880000,1040000,2,1,0,0,0,0,0,0,0,8209,1,60,0,0,Benign
172.31.67.102,51662,172.31.0.2,53,17,0.0,72,1,88,1,0,0,0,0,0,0,0,0,88,72,72,88,72.0,88.0,0,0,0,0,576000,704000,2,0,0,0,0,0,0,0,0,33242,1,60,0,0,Benign
172.31.66.108,50620,216.58.198.66,443,6,91.126,2956,28,7211,27,219,219,27,0,0,0,128,128,1470,40,40,1470,2956.0,7211.0,0,0,0,0,23648000,57688000,43,4,2,3,3,8192,42780,0,0,0,0,0,0,0,Benign
172.31.64.44,64359,172.31.0.2,53,17,0.0,70,1,86,1,0,0,0,0,0,0,0,0,86,70,70,86,70.0,86.0,0,0,0,0,560000,688000,2,0,0,0,0,0,0,0,0,30349,1,15,0,0,Benign
172.31.69.6,53940,172.217.8.1,443,6,91.126,1371,17,3724,13,219,219,27,4294951,16,16,128,128,1470,40,40,1470,1371.0,3724.0,0,0,0,0,640000,1752000,24,3,1,0,2,8192,42780,0,0,0,0,0,0,0,Benign
18.219.193.20,39898,172.31.69.25,80,6,7.0,3192,27,6015,25,27,27,27,4294655,312,312,63,63,987,52,52,987,3192.0,6015.0,0,0,0,0,80000,152000,42,0,5,5,0,26883,26847,0,0,0,0,0,0,1,DoS attacks-Hulk
118.70.190.249,60573,172.31.65.38,445,6,0.0,498,5,422,6,30,26,30,0,0,0,101,101,171,40,40,171,498.0,422.0,0,0,0,0,3984000,3376000,8,3,0,0,0,16473,8192,0,0,0,0,0,0,0,Benign
172.31.69.17,63397,172.31.0.2,53,17,0.0,66,1,142,1,0,0,0,0,0,0,128,128,142,66,66,142,132.0,142.0,0,0,0,0,1056000,1136000,2,1,0,0,0,0,0,0,0,34288,28,60,0,0,Benign
172.31.64.107,50469,41.203.16.49,443,6,0.0,2932,18,16654,19,219,219,27,0,0,0,128,128,1500,40,40,1500,2932.0,16654.0,0,0,0,0,23456000,133232000,19,1,2,5,10,8192,29200,0,0,0,0,0,0,0,Benign
222.136.145.147,35553,172.31.66.85,22,6,92.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,8363,0,0,0,0,0,0,0,0,Benign
172.31.65.80,50578,23.52.91.27,80,6,7.0,2663,23,8884,22,27,27,27,0,0,0,128,128,1500,40,40,1500,2663.0,8884.0,451,11,0,0,21304000,71072000,33,0,4,4,4,8192,29200,49920,195,0,0,0,0,0,Benign
77.72.82.98,42023,172.31.65.117,25,6,3.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
172.31.66.57,52179,172.217.15.98,443,6,91.126,1978,19,5612,18,219,219,27,4294951,16,16,128,128,1470,40,40,1470,1978.0,5612.0,0,0,0,0,928000,2640000,27,4,1,2,3,8192,42780,0,0,0,0,0,0,0,Benign
213.202.230.223,50643,172.31.67.8,3389,6,0.0,1991,13,2143,10,223,219,94,0,0,0,101,101,1219,40,40,1219,1991.0,2143.0,0,0,0,0,15928000,17144000,15,5,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
172.31.69.23,62684,172.31.0.2,53,17,5.178,96,1,178,1,0,0,0,0,0,0,0,0,178,96,96,178,96.0,178.0,0,0,0,0,768000,1424000,1,1,0,0,0,0,0,0,0,44882,28,28,0,0,Benign
172.31.64.85,59476,172.31.0.2,53,17,5.126,66,1,82,1,0,0,0,0,0,0,0,0,82,66,66,82,66.0,82.0,0,0,0,0,528000,656000,2,0,0,0,0,0,0,0,0,41544,1,13,0,0,Benign
18.219.193.20,45358,172.31.69.25,80,6,7.0,3569,29,5963,24,27,27,27,4294686,281,281,63,63,987,52,52,987,2907662.0,47601203.0,369,1,0,0,120000,208000,42,0,6,5,0,26883,26847,28928,113,0,0,0,0,1,DoS attacks-Hulk
172.31.64.108,61649,172.31.0.2,53,17,0.0,81,1,221,1,0,0,0,0,0,0,0,0,221,81,81,221,81.0,221.0,0,0,0,0,648000,1768000,1,1,0,0,0,0,0,0,0,48871,28,60,0,0,Benign
18.219.32.43,50779,172.31.69.28,80,6,7.0,526,5,1147,5,219,219,27,4294925,41,41,127,127,975,40,40,975,526.0,1147.0,0,0,0,0,96000,216000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
172.31.69.30,54570,23.219.88.24,80,6,7.0,172,4,92,2,211,211,19,0,0,0,128,128,52,40,40,52,172.0,92.0,0,0,0,0,1376000,736000,6,0,0,0,0,8192,29200,0,0,0,0,0,0,0,Benign
18.219.32.43,58284,172.31.69.28,80,6,7.0,521,5,1147,5,219,219,27,4294768,198,198,127,127,975,40,40,975,521.0,1147.0,0,0,0,0,16000,40000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
172.31.64.121,55842,172.31.0.2,53,17,5.126,72,1,100,1,0,0,0,0,0,0,128,128,100,72,72,100,144.0,100.0,0,0,0,0,1152000,800000,3,0,0,0,0,0,0,0,0,48321,28,60,0,0,Benign
172.31.66.55,65332,172.31.0.2,53,17,0.0,64,1,209,1,0,0,0,0,0,0,128,128,209,64,64,209,128.0,209.0,0,0,0,0,1024000,1672000,2,1,0,0,0,0,0,0,0,22245,1,60,0,0,Benign
172.31.67.111,49390,172.31.0.2,53,17,5.12,66,1,108,1,0,0,0,0,0,0,0,0,108,66,66,108,66.0,108.0,0,0,0,0,528000,864000,2,0,0,0,0,0,0,0,0,63453,1,13,0,0,Benign
172.31.66.74,55795,172.31.0.2,53,17,0.0,59,1,140,1,0,0,0,0,0,0,0,0,140,59,59,140,59.0,140.0,0,0,0,0,472000,1120000,1,1,0,0,0,0,0,0,0,39160,28,60,0,0,Benign
172.31.69.4,55689,172.31.0.2,53,17,0.0,76,1,141,1,0,0,0,0,0,0,0,0,141,76,76,141,76.0,141.0,0,0,0,0,608000,1128000,1,1,0,0,0,0,0,0,0,11528,28,60,0,0,Benign
18.221.219.4,35732,172.31.69.25,21,6,1.0,780,13,520,13,22,2,20,4294763,204,204,63,63,60,40,40,60,780.0,520.0,0,0,0,0,24000,16000,26,0,0,0,0,26883,0,0,0,0,0,0,0,1,FTP-BruteForce
172.31.67.64,62020,172.31.0.2,53,17,5.126,71,1,130,1,0,0,0,0,0,0,0,0,130,71,71,130,71.0,130.0,0,0,0,0,568000,1040000,1,1,0,0,0,0,0,0,0,64113,1,60,0,0,Benign
172.31.65.49,50372,172.31.0.2,53,17,0.0,58,1,160,1,0,0,0,0,0,0,0,0,160,58,58,160,58.0,160.0,0,0,0,0,464000,1280000,1,1,0,0,0,0,0,0,0,35275,1,60,0,0,Benign
94.102.54.148,65201,172.31.67.100,3389,6,0.0,1680,13,1873,7,222,222,90,0,0,0,103,103,1213,40,40,1213,1680.0,1873.0,0,0,0,0,13440000,14984000,15,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
172.31.67.17,54211,172.31.0.2,53,17,5.24,74,1,159,1,0,0,0,0,0,0,128,128,159,74,74,159,148.0,159.0,0,0,0,0,1184000,1272000,2,1,0,0,0,0,0,0,0,65156,28,60,0,0,Benign
172.31.69.10,63204,172.31.0.2,53,17,0.0,70,1,131,1,0,0,0,0,0,0,0,0,131,70,70,131,70.0,131.0,0,0,0,0,560000,1048000,1,1,0,0,0,0,0,0,0,34088,28,25,0,0,Benign
172.31.65.98,50641,209.85.203.94,443,6,91.126,1815,17,6036,15,222,222,26,0,0,0,128,128,1470,40,40,1470,1815.0,6036.0,0,0,0,0,14520000,48288000,23,2,3,1,3,8192,42780,0,0,0,0,0,0,0,Benign
77.243.191.23,57862,172.31.64.32,3389,6,0.0,2136,11,1936,11,222,222,26,0,0,0,106,106,1189,40,40,1189,2136.0,1936.0,704,2,59,1,17088000,15488000,16,3,0,2,1,8192,64000,49152,192,0,0,0,0,0,Benign
211.170.54.2,65211,172.31.66.96,3389,6,0.0,1384,8,1721,7,222,222,26,0,0,0,100,100,1189,40,40,1189,1384.0,1721.0,0,0,0,0,11072000,13768000,10,3,0,1,1,8192,64000,0,0,0,0,0,0,0,Benign
139.60.160.142,9310,172.31.65.115,3389,6,0.0,1872,10,2303,14,223,219,94,0,0,0,102,102,1219,40,40,1219,1872.0,2303.0,0,0,0,0,14976000,18424000,16,5,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
172.31.66.68,64715,172.31.0.2,53,17,0.0,69,1,85,1,0,0,0,0,0,0,0,0,85,69,69,85,69.0,85.0,0,0,0,0,552000,680000,2,0,0,0,0,0,0,0,0,47843,1,20,0,0,Benign
193.19.118.97,58073,172.31.66.116,3389,6,0.0,1500,9,1873,7,222,222,90,0,0,0,111,111,1213,40,40,1213,1500.0,1873.0,0,0,0,0,12000000,14984000,11,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
172.31.64.109,63929,172.31.0.2,53,17,5.126,63,1,79,1,0,0,0,0,0,0,0,0,79,63,63,79,63.0,79.0,0,0,0,0,504000,632000,2,0,0,0,0,0,0,0,0,36859,1,60,0,0,Benign
172.31.67.94,49636,31.13.65.36,443,6,91.119,5130,58,127180,103,30,30,26,0,0,0,128,128,1450,40,40,1450,5130.0,127180.0,0,0,0,0,41040000,1017440000,63,4,4,4,86,8192,28200,0,0,0,0,0,0,0,Benign
13.58.98.64,44820,172.31.69.25,22,6,92.0,21940,161,26823,156,27,27,27,4292983,1984,1984,63,63,1028,52,52,1028,3200633212408.0,3869763415320.0,11040,64,6890,30,136000,168000,240,49,7,14,7,26883,26847,8192,32,0,0,0,0,1,SSH-Bruteforce
172.31.66.64,54004,64.30.228.118,443,6,0.0,326,3,131,3,222,218,30,0,0,0,128,128,234,40,40,234,326.0,131.0,0,0,0,0,2608000,1048000,5,1,0,0,0,65170,35300,0,0,0,0,0,0,0,Benign
193.111.198.61,52877,172.31.66.56,3389,6,0.0,1918,13,764,9,223,219,94,0,0,0,100,100,720,40,40,720,1918.0,764.0,0,0,0,0,15344000,6112000,18,1,2,1,0,8192,64000,0,0,0,0,0,0,0,Benign
213.202.230.232,24934,172.31.66.49,3389,6,0.0,2006,14,2183,11,223,219,30,4294951,0,16,100,100,1219,40,40,1219,2006.0,2183.0,0,0,0,0,16048000,1024000,17,5,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
172.31.67.53,52674,209.85.202.100,80,6,7.126,1135,17,1450,15,219,219,27,0,0,0,128,128,746,40,40,746,1135.0,1450.0,451,11,0,0,9080000,11600000,30,0,1,1,0,8192,42780,49920,195,0,0,0,0,0,Benign
185.222.56.84,5598,172.31.65.61,3389,6,0.0,1460,10,2910,8,30,30,26,0,0,0,112,112,1189,40,40,1189,1460.0,2910.0,0,0,1189,1,11680000,23280000,12,3,0,1,2,8192,64000,0,0,0,0,0,0,0,Benign
172.31.65.69,50545,169.254.169.254,80,6,7.0,373,5,700,5,219,219,91,0,0,0,128,128,528,40,40,528,373.0,700.0,0,0,0,0,2984000,5600000,8,1,0,1,0,8192,17922,0,0,0,0,0,0,0,Benign
172.31.65.107,49935,23.196.115.33,80,6,7.2120000000000015,1962,6,448,6,219,219,27,0,0,0,128,128,1404,40,40,1404,1962.0,448.0,0,0,0,0,15696000,3584000,9,1,1,0,1,8192,29200,0,0,0,0,0,0,0,Benign
68.169.174.156,62719,172.31.65.58,3389,6,0.0,340,6,231,5,223,223,94,0,0,0,107,107,82,40,40,82,340.0,231.0,0,0,0,0,2720000,1848000,11,0,0,0,0,8192,64000,0,0,0,0,0,0,0,Benign
172.31.67.35,58207,172.31.0.2,53,17,0.0,64,1,96,1,0,0,0,0,0,0,0,0,96,64,64,96,64.0,96.0,0,0,0,0,512000,768000,2,0,0,0,0,0,0,0,0,62599,1,20,0,0,Benign
172.31.65.100,54162,172.31.0.2,53,17,0.0,64,1,160,1,0,0,0,0,0,0,0,0,160,64,64,160,64.0,160.0,0,0,0,0,512000,1280000,1,1,0,0,0,0,0,0,0,21971,1,51,0,0,Benign
18.218.229.235,63806,172.31.69.28,80,6,7.0,499,5,1147,5,219,219,27,4294936,30,30,127,127,975,40,40,975,499.0,1147.0,0,0,0,0,128000,296000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
18.218.55.126,50396,172.31.69.28,80,6,7.0,479,5,1147,5,219,219,27,4294956,10,10,127,127,975,40,40,975,479.0,1147.0,0,0,0,0,344000,832000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
18.219.5.43,59325,172.31.69.28,80,6,7.0,526,5,1147,5,219,219,27,4294942,25,25,127,127,975,40,40,975,526.0,1147.0,0,0,0,0,160000,352000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
172.31.68.15,52915,23.219.88.73,80,6,7.0,1151,17,1657,15,219,219,27,0,0,0,128,128,953,40,40,953,1151.0,1657.0,451,11,0,0,9208000,13256000,30,0,1,1,0,8192,29200,49920,195,0,0,0,0,0,Benign
172.31.65.5,51511,74.117.206.64,443,6,0.0,1174,11,999,12,219,219,27,0,0,0,128,128,449,40,40,449,1174.0,999.0,41,1,0,0,9392000,7992000,19,1,3,0,0,64240,5101,10496,41,0,0,0,0,0,Benign
114.33.129.237,51551,172.31.67.50,445,6,0.0,656,7,874,7,31,27,30,0,0,0,100,100,449,40,40,449,656.0,874.0,0,0,0,0,5248000,6992000,10,3,1,0,0,16698,8192,0,0,0,0,0,0,0,Benign
172.31.68.10,61412,172.31.0.2,53,17,0.0,70,1,100,1,0,0,0,0,0,0,0,0,100,70,70,100,70.0,100.0,0,0,0,0,560000,800000,2,0,0,0,0,0,0,0,0,42295,1,60,0,0,Benign
172.31.68.14,53999,178.255.83.1,80,6,7.0,649,5,1071,5,219,219,27,0,0,0,128,128,899,40,40,899,649.0,1071.0,0,0,0,0,5192000,8568000,8,0,1,1,0,8192,14600,0,0,0,0,0,0,0,Benign
